jogador_pasta,img,aba,nome,overall,gols,time_gols,assistencias,time_assistencias,finalizacoes,time_finalizacoes,precisao_finalizacoes_pct,time_precisao_finalizacoes_pct,passes,time_passes,precisao_passes_pct,time_precisao_passes_pct,dribles,time_dribles,taxa_dribles_certos_pct,time_taxa_dribles_certos_pct,divididas,time_divididas,taxa_divididas_ganhas_pct,time_taxa_divididas_ganhas_pct,impedimentos,time_impedimentos,faltas_cometidas,time_faltas_cometidas,posses_bola_ganhas,time_posses_bola_ganhas,perdas_posse_bola,time_perdas_posse_bola,minutos_jogados_media_time,time_minutos_jogados_media_time,distancia_percorrida_media_time_km,time_distancia_percorrida_media_time_km,distancia_corrida_media_time_km,time_distancia_corrida_media_time_km,passes_assistencias,passes_assistencias_esperadas,passes_passes,passes_concluidos,passes_interceptados,passes_precisao_passe_pct,passes_para_impedimento,passes_rasteiro,passes_por_cobertura,passes_enfiada,passes_enfiada_por_cima,passes_cruzamento,passes_bola_parada,finalizacoes_gols,finalizacoes_gols_esperados,finalizacoes_finalizacoes,finalizacoes_certas,finalizacoes_erradas,finalizacoes_bloqueadas,finalizacoes_precisao_pct,finalizacoes_normal,finalizacoes_colocada,finalizacoes_cabeceio,finalizacoes_rasteira,finalizacoes_de_voleio,finalizacoes_por_cobertura,finalizacoes_bola_parada,defesa_divididas_em_pe,defesa_divididas_em_pe_ganhas,defesa_taxa_divididas_em_pe_ganhas_pct,defesa_carrinhos,defesa_carrinhos_certos,defesa_taxa_carrinhos_certos_pct,defesa_interceptacoes,defesa_bloqueios,defesa_chutoes,defesa_disputas_aereas_ganhas,defesa_duelos_perdidos,defesa_faltas_cometidas,defesa_penaltis_cometidos,defesa_gols_contra
Eze,Captura de Tela (1187).png,resumo,Eberechi Eze,82,0.0,0.0,0.0,1.0,0.0,0.7,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1188).png,resumo,Eberechi Eze,82,0.0,0.0,0.0,12.0,4.0,21.0,0.0,20.0,0.0,95.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,92.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1242).png,resumo,Eberechi Eze,82,1.0,4.0,0.0,1.0,5.0,6.0,20.0,17.0,8.0,81.0,100.0,90.0,17.0,74.0,59.0,84.0,1.0,11.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,13.0,92.0,67.0,8.9,6.1,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1246).png,resumo,Eberechi Eze,87,0.0,0.0,0.0,0.0,1.0,4.0,100.0,25.0,9.0,66.0,67.0,79.0,9.0,58.0,100.0,95.0,0.0,15.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,16.0,93.0,73.0,40.4,7.8,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1255).png,resumo,Eberechi Eze,82,0.0,2.0,1.0,2.0,2.0,9.0,90.0,96.0,13.0,103.0,85.0,90.0,14.0,84.0,86.0,92.0,0.0,6.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,18.0,5.0,17.0,93.0,63.0,0.1,6.5,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1260).png,resumo,Eberechi Eze,87,0.0,0.0,0.0,0.0,2.0,5.0,0.0,40.0,8.0,90.0,75.0,84.0,10.0,74.0,90.0,71.0,1.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,17.0,93.0,73.0,9.2,7.3,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1261).png,passes,Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,6.0,1.0,75.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1264).png,resumo,Eberechi Eze,87,0.0,1.0,0.0,1.0,2.0,5.0,90.0,60.0,4.0,72.0,90.0,82.0,0.0,59.0,50.0,90.0,1.0,17.0,100.0,29.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,14.0,92.0,72.0,9.4,7.3,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1283).png,resumo,Eberechi Eze,87,0.0,4.0,1.0,4.0,3.0,10.0,67.0,80.0,12.0,63.0,83.0,79.0,14.0,0.0,71.0,84.0,1.0,19.0,100.0,84.0,0.0,0.0,0.0,1.0,2.0,23.0,7.0,18.0,93.0,63.0,1.1,7.2,2.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eze,Captura de Tela (1284).png,finalizacoes,Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.3,3.0,2.0,1.0,0.0,67.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
